name,sample_text,lang_code,asjp-name,wals_family,ethnologue_family,glottolog_family,asjp_num,latitude,longitude,num_speakers,wals_code,iso_code,country,continent,top_level_family,manual_edit,wikipedia_link,ethnologue_link
Dagbani,"Sal' la sala. Bɛhig' be 
sokam sanimi, din pa la amii. Suhizɔbo be sokam sani; ka nambɔɣu beni. 
Suhubɔhibo mi bi lan kɔŋ yigunaadam kam sani. Dinzuɣu dimbɔŋɔ zaa wuhiya
 ka dama di tu kamaata ka ti zaa yu tab' hali ni ti puuni.",dag,DAGBANI,NC.OTI-VOLTA,"Niger-Congo,Atlantic-Congo,Volta-Congo,North,Gur,Central,Northern,Oti-Volta,Western,Southeast","Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,NorthernCentralGur,Bwamu-Oti-Volta,Oti-Volta,NuclearOti-Volta,Gurma-Yom-Oti-VoltaOccidental,Oti-VoltaOccidental,NuclearOti-VoltaOccidental,SoutheastWesternOti-Volta,Mampruli-Dagbani}",1,9.58,-0.5,1160000,dgb,dag,GHA,Africa,Atlantic-Congo,,Dagbani_language,
Dangme,"Adesahi tsuo ɔ, a bɔ mɛ 
nɛ nɔ fɛɛ nɔ e ye e he, nɛ nɔ tsuaa nɔsɔ ngɛ odehe si himi kɛ he blɔhi a
 blɔ fa mi. A bɔ mɛ kɛ nɔ́ se kɔmi kɛ he nule juɛmi, nɛ e hia kaa nɔ fɛɛ
 nɔ nɛ e na nyɛmi suɔmi kɛ ha nɔ tsuaa nɔ.",ada,DANGME,NC.GA-DANGME,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Ga-Dangme","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Ga-Dangme}",2,6.33,-0.12,1020000,ada,,GHA,Africa,Atlantic-Congo,,Dangme_language,
Danish,"Alle mennesker er født 
frie og lige i værdighed og rettigheder. De er udstyret med fornuft og 
samvittighed, og de bør handle mod hverandre i en broderskabets ånd.",da,DANISH,IE.GERMANIC,"Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Riksmal,Danish","Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,NorthGermanic,SouthScandinavian}",1,56,10,5618130,dsh,dan,DNK,Europe,Indo-European,,Danish_language,
Dari,"تمام افراد بشر آزاد 
به دنیا می‌آیند و از لحاظ حیثیت و حقوق با هم برابرند. همه دارای عقل و 
وجدان هستند و باید نسبت به یکدیگر با روح برادری رفتار کنند.",fa-AF,,,,,,,,30000000,,,,Asia,Indo-European,y,Dari,
Dutch,"Alle mensen worden vrij en
 gelijk in waardigheid en rechten geboren. Zij zijn begiftigd met 
verstand en geweten, en behoren zich jegens elkander in een geest van 
broederschap te gedragen.",nl,BRABANTIC,IE.GERMANIC,"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian","Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,WestGermanic,Macro-Dutch,Middle-ModernDutch,ModernDutch,GlobalDutch}",1,50.75,4.5,22777600,dbr,nld,BEL,Europe,Indo-European,,Dutch_language,
Edo,"Emwan ne agbon hia ne a 
biere, a bie iran noyan-egbe iran kevbe wee, umwon-mwen o ree etin hia 
ne o kheke iran khin. A ye ewaen kevbe ekhoe ne o maa wu iran, ne iran 
gha yin da egbe vbe orhion oghe eten-okpa.",bin,EDO,NC.EDOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Edoid,North-Central,Edo-Esan-Ora","Atlantic-Congo,Volta-Congo,Benue-Congo,Akpes-Edoid,Edoid,North-CentralEdoid,CentralPlainsEdoid}",1,6.42,5.83,1931670,bni,bin,NGA,Africa,Atlantic-Congo,,Edo_language,
English,"All human beings are born 
free and equal in dignity and rights. They are endowed with reason and 
conscience and should act towards one another in a spirit of 
brotherhood.",en,ENGLISH,IE.GERMANIC,"Indo-European,Germanic,West,English","Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,WestGermanic,NorthSeaGermanic,Anglo-Frisian,Anglic,LaterAnglic,Middle-ModernEnglish,Macro-English}",1,52,0,369935930,eng,eng,GBR,Europe,Indo-European,,English_language,
Estonian,"Kõik inimesed sünnivad 
vabadena ja võrdsetena oma väärikuselt ja õigustelt. Neile on antud 
mõistus ja südametunnistus ja nende suhtumist üksteisesse peab kandma 
vendluse vaim.",et,ESTONIAN,Ura.FINNIC,"Uralic,Finnic","Uralic,Finnic,CoastalFinnic,Neva,CentralFinnic}",3,59,26,1160020,est,ekk,EST,Europe,Uralic,,Estonian_language,
Evenki,"Упкат илэл ты̄нмукирди, 
урэ̄лди мэ̄нңи са̄рича̄ди балдыдяра. Нуңартын дялитви, һалдяндыви биси, 
мэмэгӣлвэр аяралды̄дяна тэдет о̄мамачитын.",evn,EVENKI,Alt.TUNGUSIC,"Tungusic,Northern,Evenki","Tungusic,NorthernTungusic,NorthwesternTungusic}",1,56,125,15800,eve,evn,RUS,Europe,Tungusic,,Evenki_language,
Fante,"Wɔwo adasa nyina to 
fahodzi mu, na hɔn nyina yɛ pɛr wɔ enyimnyam na ndzinoa mu. Wɔmaa hɔn 
nyina adwen na tsibowa, na ɔwɔ dɛ hɔn nkitahodzi mu ndzeyɛɛ da no edzi 
dɛ wɔyɛ enuanom.",ak,AKAN_ASANTE,NC.TANO,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Central,Akan","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,CentralTano,Akanic}",1,6.4,-1.2,8327000,akn,aka,GHA,Africa,Atlantic-Congo,,Fante_language,
"Farsi, Western","تمام افراد بشر آزاد بدنیا 
میایند و از لحاظ حیثیت و حقوق با هم برابرند. همه دارای عقل و وجدان 
میباشند و باید نسبت بیکدیگر با روح برادری رفتار کنند.",fa,,,,,,,,78000000,,,,Asia,Indo-European,y,Iranian_Persian,
Finnish,"Kaikki ihmiset syntyvät 
vapaina ja tasavertaisina arvoltaan ja oikeuksiltaan. Heille on annettu 
järki ja omatunto, ja heidän on toimittava toisiaan kohtaan veljeyden 
hengessä.",fi,FINNISH,Ura.FINNIC,"Uralic,Finnic","Uralic,Finnic,CoastalFinnic,Neva,NorthFinnic,NuclearFinnish}",1,62,25,5114040,fin,fin,FIN,Europe,Uralic,,Finnish_language,
Fon,"Acɛ, susu kpo sisi ɖokpo
 ɔ kpo wɛ gbɛtɔ bi ɖo ɖò gbɛwiwa tɔn hwenu; ye ɖo linkpɔn bɔ ayi yetɔn 
mɛ kpe lo bɔ ye ɖo na do alɔ yeɖee ɖi nɔvinɔvi ɖɔhun.",fon,FON_GBE,NC.GBE,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,LeftBank,Gbe,Fon","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Gbe,EasternGbe,Fongbeic}",1,7.3,2.2,2067900,fon,fon,BEN,Africa,Atlantic-Congo,,Fon_language,
French,"Tous les êtres humains 
naissent libres et égaux en dignité et en droits. Ils sont doués de 
raison et de conscience et doivent agir les uns envers les autres dans 
un esprit de fraternité.",fr,FRENCH,IE.ROMANCE,"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,Oil,French","Indo-European,ClassicalIndo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,NorthwesternShiftedRomance,Gallo-Rhaetian,Oil,CentralOil,Macro-French,GlobalFrench}",1,48,2,79579970,fre,fra,FRA,Europe,Indo-European,,French_language,
"Fulfulde, Nigerian","Innama aadeeji fof poti,
 ndimɗidi e jibinannde to bannge hakkeeji. Eɓe ngoodi miijo e 
hakkilantaagal ete eɓe poti huufo ndirde e nder ɓ iynguyummaagu.",fuv,FULA_KANO_KATSINA_BORORO,NC.PEUL-SERER,"Niger-Congo,Atlantic-Congo,Atlantic,Northern,Senegambian,Fula-Wolof,Fula,EastCentral","Atlantic-Congo,North-CentralAtlantic,Fula-Sereer,Fula,EasternFula}",1,12.5,8,15585000,fni,fuv,NGA,Africa,Atlantic-Congo,,Nigerian_Fulfulde,
Fur,"kwa-sí nyéttiŋ baajtólá 
kereli nás nisila na ta̱gɨdɨŋ arrá ka̱ɨŋ, Naŋ-sí ugola na kilmaŋá arrá 
ka̱ɨŋ namá in lóŋ áláŋ sǔrŋâ-sí kí jaiŋa in kéél ná sǔrŋâ suurꞌíŋ bârŋa.",fvr,FUR,Fur.FUR,"Nilo-Saharan,Satellite-Core,Satellites,Fur",Furan},1,13.5,25,745800,fur,fvr,SDN,Africa,Furan,,Fur_language,
Galician,"Tódolos seres humanos 
nacen libres e iguais en dignidade e dereitos e, dotados como están de 
razón e conciencia, díbense comportar fraternalmente uns cos outros.",gl,GALICIAN,IE.ROMANCE,"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,WestIberian,Portuguese-Galician","Indo-European,ClassicalIndo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance,WestIbero-Romance,GalicianRomance}",1,43,-8,3127900,glc,glg,ESP,Europe,Indo-European,,Galician_language,
Ganda,"Abantu bazaalibwa nga 
balina eddembe n'obuyinza ebyenkanankana, batondebwa nga balina amagezi 
era nga basobola okwawula ekirungi n'ekibi bwebatyo, buli omu agwana 
okuyisa munne nga muganda we.",lg,GANDA,NC.BANTU,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,J,Nyoro-Ganda(E.15)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,GreatLakesBantu,WestNyanza,NorthNyanza}",1,0.5,32,5614750,lda,lug,UGA,Africa,Atlantic-Congo,,Ganda_language,
Georgian,"ყოველი ადამიანი იბადება 
თავისუფალი და თანასწორი თავისი ღირსებითა და უფლებებით. მათ მინიჭებული 
აქვთ გონება და სინდისი და ერთმანეთის მიმართ უნდა ექცეოდნენ ძმობის 
სულისკვეთებით.",ka,GEORGIAN,Krt.KARTVELIAN,"Kartvelian,Georgian","Kartvelian,Georgian-Zan,Georgic}",3,42,44,3898550,geo,kat,GEO,Asia,Kartvelian,,Georgian_language,
"German, Standard","Alle Menschen 
sind frei und gleich an Würde und Rechten geboren. Sie sind mit Vernunft
 und Gewissen begabt und sollen einander im Geist der Brüderlichkeit 
begegnen.",de-1996,STANDARD_GERMAN,IE.GERMANIC,"Indo-European,Germanic,West,HighGerman,German,MiddleGerman,EastMiddleGerman","Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,UpperGerman,Middle-ModernHighGerman,ModernHighGerman,UpperFranconian,GlobalGerman}",1,52,10,76540740,gbl,deu,DEU,Europe,Indo-European,,Standard_German,
Gilyak,"Сик нивгун куғытӻарта, пʼинамад яймта адяй правоғир̌ пʼӊафқ-ӊафқғир̌ салӻата ӿат пантадғун.",niv,GILYAK,Niv.NIVKH,Languageisolate_niv,Nivkh},3,53.33,142,200,niv,niv,RUS,Europe,Nivkh,,Gilyak_language,
Greek,"Όλοι οι 
άνθρωποι γεννιούνται ελεύθεροι και ίσοι στην αξιοπρέπεια και τα 
δικαιώματα. Είναι προικισμένοι με λογική και συνείδηση, και οφείλουν να 
συμπεριφέρονται μεταξύ τους με πνεύμα αδελφοσύνης.",el-monoton,GREEK,IE.GREEK,"Indo-European,Greek,Attic","Indo-European,ClassicalIndo-European,Graeco-Phrygian,Greek,EastGreek,KoineicGreek,ModernKoineicGreek,NuclearModernGreek}",2,39,22,13205670,grk,ell,GRC,Europe,Indo-European,,Greek_language,
"Guaraní, Paraguayan","Mayma yvypóra ou ko yvy 
ári iñapytlʼyre ha eteĩcha dignidad ha derecho jeguerekópe; ha ikatu 
rupi oikuaa añetéva ha añeteʼyva, iporãva ha ivaíva, tekotevẽ 
pehenguéicha oiko oñondivekuéra.",gn,,,,,,,,6500000,,,,South America,Tupian,y,Guarani_language,
Gujarati,"પ્રતિષ્ઠા અને અધિકારોની 
દૃષ્ટિએ સર્વ માનવો જન્મથી સ્વતંત્ર અને સમાન હોય છે. તેમનામાં વિચારશક્તિ 
અને અંતઃકરણ હોય છે અને તેમણે પરસ્પર બંધુત્વની ભાવનાથી વર્તવું જોઇએ.",gu,GUJARATI,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Gujarati","Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,SubcontinentalCentralIndo-Aryan,Gujarati-Rajasthani,Gujaratic}",1,23,72,56933450,guj,guj,IND,Asia,Indo-European,,Gujarati_language,
Gumuz,"Dubꞌaga bꞌaga metaam 
metaam alamaam kamaanzaakꞌoma kasꞌe bipokꞌoga kamadꞌab maafucꞌakꞌwa 
haaga bacꞌaga tso. Kábꞌaga jajanda kwa jala etigafalagash maꞌiiya nago 
metaagwa eyaal yida-eba bicꞌaga tso.",guk,DISOHA,Gum.GUMUZ,"Nilo-Saharan,Satellite-Core,Core,B'aga",Gumuz},3,12.42,35.42,249000,gmz,guk,SDN,Africa,Gumuz,,Gumuz_language,
Haitian Creole French,"Tout moun fèt lib, egal 
ego pou diyite kou wè dwa. Nou gen la rezon ak la konsyans epi nou fèt 
pou nou aji youn ak lot ak yon lespri fwatènite.",ht,HAITIAN_CREOLE,Oth.CREOLES_AND_PIDGINS,"Creole,Frenchbased","Indo-European,ClassicalIndo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,NorthwesternShiftedRomance,Gallo-Rhaetian,Oil,CentralOil,Macro-French,Circum-CaribbeanFrench}",1,19,-72.5,8040040,hcr,hat,HTI,North America,Indo-European,,Haitian Creole French_language,
Hausa,"Duk ‘yan’adan ana 
haihuwarsu ne a matsayin ‘yantattun ‘ya’ya, kuma mutuncinsu da 
haqqoqinsu daidai yake da na kowa. Suna da tunani da cikakken hankali, 
saboda haka ake son duk mu’amalar da za su yi, ta kasance akwai 
‘yan’uwantaka a tsakani.",ha,HAUSA,AA.WEST_CHADIC,"Afro-Asiatic,Chadic,West,A,A.1","Afro-Asiatic,Chadic,WestChadic,WestChadicA,WestChadicA.1}",1,12,7,48637300,hau,hau,NGA,Africa,Afro-Asiatic,,Hausa_language,
Hebrew,"כל בני אדם נולדו בני חורין ושווים בערכם ובזכויותיהם. כולם חוננו בתבונה ובמצפון, לפיכך חובה עליהם לנהוג איש ברעהו ברוח של אחוה.",he,HEBREW,AA.SEMITIC,"Afro-Asiatic,Semitic,Central,South,Canaanite","Afro-Asiatic,Semitic,WestSemitic,CentralSemitic,NorthwestSemitic,Canaanite,Hebrewic}",1,31.5,34.83,6086950,hba,heb,ISR,Asia,Afro-Asiatic,,Hebrew_language,
Hiligaynon,"Ang tanan nga tao 
ginbun-ag nga hilway kag may pag-alalangay sa dungog kag katarungan. 
Sila ginhatagan sang pagpamat-od kag konsensya kag nagakadapat nga 
magbinuligay sa kahulugan sang pag-inuturay.",hil,HILIGAYNON,An.GREATER_CENTRAL_PHILIPPINE,"Austronesian,Malayo-Polynesian,GreaterCentralPhilippine,CentralPhilippine,Bisayan,Central,Peripheral","Austronesian,Malayo-Polynesian,GreaterCentralPhilippine,CentralPhilippine,Bisayan,CentralBisayan,PeripheralCentralBisayan,Capiznon-Ilonggo-Kawayan}",1,10.25,123,6246880,hil,hil,PHL,Asia,Austronesian,,Hiligaynon_language,
Hindi,"सभी मनुष्यों को गौरव और 
अधिकारों के मामले में जन्मजात स्वतन्त्रता और समानता प्राप्त है । उन्हें 
बुद्धि और अन्तरात्मा की देन प्राप्त है और परस्पर उन्हें भाईचारे के भाव 
से बर्ताव करना चाहिए ।",hi,HINDI,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,WesternHindi,Hindustani","Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,SubcontinentalCentralIndo-Aryan,WesternHindi,Hindustani}",1,25,77,342219070,hin,hin,IND,Asia,Indo-European,,Hindi_language,
"Hmong, Northern Qiandong","Laix laix diangl dangt 
lol sob dab yangx ghax maix zit yef, niangb diot gid zenb nieef haib gid
 quaif lit gid nongd jus diel pinf denx. Nenx dol maix laib lix xent 
haib jox hvib vut, nenx dol nongt liek bed ut id xit deit dait.",hmn,,,,,,,,2100000,,,,Asia,Hmong-Mien,y,Hmu_language,
"Hmong, Southern Qiandong","Leb leb nis zib youl 
nangs, mex ad sheit nangd zend yanl nhangs njanl lib. Mix mex lix xinb 
gaot liangt send, leb leb lies nhangs ghob nab ghob geud nangd.",hms,,,,,,,,2100000,,,,Asia,Hmong-Mien,y,Hmu_language,
"Huitoto, Murui","Nana caɨ comuillamona 
dama caɨ abido itɨcaɨ. Caɨ comuillamona jɨaɨmɨe anamo iñedɨcaɨ. Nana 
daje facaiconi itɨcaɨ. Abɨ uiñuanona comuidɨcaɨ. Danɨ coninɨrie caɨ 
nabairilla.",huu,HUITOTO_MIKA,Wit.WITOTO,"Witotoan,Proto-Huitoto-Ocaina,EarlyHuitoto,Proto-Minica-Murai","Huitotoan,NuclearWitotoan,Minica-Murui}",1,-1.17,-73.51,1000,hum,huu,COL,South America,Huitotoan,,Murui_Huitoto_language,
Hungarian,"Minden. emberi lény 
szabadon születik és egyenlő méltósága és joga van. Az emberek, ésszel 
és lelkiismerettel bírván, egymással szemben testvéri szellemben kell 
hogy viseltessenek.",hu,CSANGO,Ura.UGRIC,Uralic,Uralic},2,46.57,26.67,12538370,hun,hun,ROU,Europe,Uralic,,Hungarian_language,
Ibibio,"Kpukpuru owo emana nte 
amanison, enyun enyene ukem ukem uku ye unen. Eyoho mmo ye ukeme ndikere
 nkpo, ndinyun nyene esit, ke ntre, mmo enyene ndiman nkpo mbana kiet 
eken ke esit ndito eka.",ibb,IBIBIO,NC.LOWER_CROSS,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,CrossRiver,DeltaCross,LowerCross,Obolo,Efik","Atlantic-Congo,Volta-Congo,Benue-Congo,DeltaCross,LowerCross,CentralLowerCross,Efik-Ibibio}",1,4.9,7.35,5939000,ibi,ibb,NGA,Africa,Atlantic-Congo,,Ibibio_language,
Igbo,"A mụrụ mmadụ nile n'ohere 
nakwa nha anya ugwu na ikike. E nyere ha uche na mmụọ ime ihe ziri ezi 
nke na ha kwesiri ịkpaso ibe ha agwa n'obi nwanne na nwanne.",ig,ECHIE,NC.IGBOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Igboid,Igbo","Atlantic-Congo,Volta-Congo,Benue-Congo,Igboid,NuclearIgboid}",2,5.4,7.55,29075190,igb,ibo,NGA,Africa,Atlantic-Congo,,Igbo_language,
"Ijo, Southeast","Kim’ owoumo se, keni 
bara ki na, pa zimi, ose keni bara kemi. Kim’se ye iroro, mani ikiou 
nana, enini kim’se dudu tari teme nana weri iyenri.",ijs,,,,,,,,72000,,,,Africa,Ijoid,y,Southeast_Ijo,
Ilocano,"Amin nga tao nga 
sibibiag ket naiyanak a siwawayawaya ken addaan iti agpapada nga dayaw 
ken kalintegan. Naikkanda ti panagikalintegan ken konsensya a nasken ti 
panagtitinnulong iti meysa ken meysa iti espiritu nga nainkak-absatan.",ilo,ILOKANO,An.NORTHERN_LUZON,"Austronesian,Malayo-Polynesian,NorthernLuzon,Ilocano","Austronesian,Malayo-Polynesian,NorthernLuzon}",1,16,121,6482100,ilo,ilo,PHL,Asia,Austronesian,,Ilocano_language,
Indonesian,"Semua orang dilahirkan 
merdeka dan mempunyai martabat dan hak-hak yang sama. Mereka dikaruniai 
akal dan hati nurani dan hendaknya bergaul satu sama lain dalam semangat
 persaudaraan.",id,INDONESIAN,An.MALAYO-SUMBAWAN,"Austronesian,Malayo-Polynesian,Malayo-Chamic,Malayic,Malay","Austronesian,Malayo-Polynesian,Malayo-Sumbawan,NorthandEastMalayo-Sumbawan,Malayic,NuclearMalayic,StandardMalay-Indonesian}",1,0,106,43621530,ind,ind,,Asia,Austronesian,,Indonesian_language,
"Inuktitut, Eastern Canadian",ᐃᓅᔪᓕᒫᑦ ᐊᓂᖅᑎᕆᔪᓕᒫᑦ ᐃᓅᓚᐅᕐᒪᑕ ᐃᓱᒪᕐᓱᕐᖢᑎᒃ ᐊᒻᒪᓗ ᐊᔾᔨᐅᖃᑎᒌᒃᖢᑎᒃ ᓂᕐᓱᐊᖑᓂᒃᑯᑦ ᐊᒻᒪᓗ ᐱᔪᓐᓇᐃᑎᑎᒍᑦ. ᐃᓱᖃᖅᑐᖁᑎᖃᕐᑎᑕᐅᕙᓕᕐᐳᑦ ᐱᔾᔪᑎᖃᕐᓂᒃᑯᑦ ᖃᑕᙳᑎᒌᑦᑎᐊᕆᐊᖃᕐᓂᒃᑯᓪᓗ.,iu,,,,,,,,80000,,,,North America,Eskimo-Aleut,y,Inuktitut,
Italian,"Tutti gli esseri umani 
nascono liberi ed eguali in dignità e diritti. Essi sono dotati di 
ragione e di coscienza e devono agire gli uni verso gli altri in spirito
 di fratellanza.",it,ITALIAN,IE.ROMANCE,"Indo-European,Italic,Romance,Italo-Western,Italo-Dalmatian","Indo-European,ClassicalIndo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,Italo-Dalmatian,ItalianRomance}",1,43,12,64790130,ifi,ita,ITA,Europe,Indo-European,,Italian_language,
Japanese,すべての人間は、生まれながらにして自由であり、かつ、尊厳と権利とについて平等である。人間は、理性と良心とを授けられており、互いに同胞の精神をもって行動しなければならない。,ja,EI_JAPANESE,Jap.JAPANESE,Japonic,"Japonic,Japanesic,Japan-TaiwanJapanese}",1,31.23,130.5,126257610,jpn,jpn,JPN,Asia,Japonic,,Japanese_language,
Javanese (Javanese Script),"꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦏꦭꦲꦶꦂꦫꦏꦺꦏꦤ꧀ꦛꦶꦩꦂꦢꦶꦏꦭꦤ꧀ꦢꦂꦧꦺꦩꦂꦠꦧꦠ꧀ꦭꦤ꧀ꦲꦏ꧀ꦲꦏ꧀ꦏꦁꦥꦝ
꧉​
ꦏꦧꦺꦃꦥꦶꦤꦫꦶꦁꦔꦤ꧀ꦲꦏꦭ꧀ꦭꦤ꧀ꦏꦭ꧀ꦧꦸꦱꦂꦠꦏꦲꦗꦧ꧀ꦥꦱꦿꦮꦸꦁꦔꦤ꧀ꦲꦁꦒꦺꦴꦤ꧀ꦤꦺꦩꦼꦩꦶꦠꦿꦤ꧀ꦱꦶꦗꦶꦭꦤ꧀ꦱꦶꦗꦶꦤꦺꦏꦤ꧀ꦛꦶꦗꦶꦮꦺꦴꦱꦸꦩꦢꦸꦭꦸꦂ
꧉​",jv-Java,MALANG,An.JAVANESE,"Austronesian,Malayo-Polynesian,Javanese","Austronesian,Malayo-Polynesian,Javanesic,ModernJavanese}",2,-7.97,112.62,68278400,jav,jav,IDN,Asia,Austronesian,,Javanese_language,
Javanese (Latin),"Saben uwong kalairake 
kanthi mardika lan darbe martabat lan hak-hak kang padha. Kabeh 
pinaringan akal lan kalbu sarta kaajab pasrawungan anggone memitran siji
 lan sijine kanthi jiwo sumadulur.",jv,MALANG,An.JAVANESE,"Austronesian,Malayo-Polynesian,Javanese","Austronesian,Malayo-Polynesian,Javanesic,ModernJavanese}",2,-7.97,112.62,68278400,jav,jav,IDN,Asia,Austronesian,,Javanese_language,
Jula,"Wólo’ lá, hádamaden’ bɛɛ
 ye hɔrɔn ye, bɛɛ ká kán lànbe ní hákɛyaw lá. Mɔgɔ bɛɛ ye hákilitigi ye,
 bɛɛ ye hákilima ye ; ò là, ù ká kán kà ɲgɔn mína ní bádenya ye.",dyu,JULA_DE_KONG,Man.WESTERN_MANDE,"Niger-Congo,Mande,Western,Central-Southwestern,Central,Manding-Jogo,Manding-Vai,Manding-Mokole,Manding,Manding-East,NortheasternManding,Bamana","Mande,WesternMande,Manding-Kpelle,CentralMande,Manding-Jogo,Manding-Vai,Manding-Mokole,Manding,EastManding}",1,9.09,-4.6,2226000,dyu,dyu,CIV,Africa,Mande,,Jula_language,
"K'iche', Central","Konojel ri winaq are taq
 ke'alaxik pa junaman ya'tal chkech kakechab'ej ronojel ri utzil; utz 
kakib'ano, kakichomaj, kakib'ij jasa je' ri k'o pa kanima, rumal che ri 
junam kib'antajik. Rajawaxik xuqe' kakimulij kib' che utzukuxuk ri 
loq'ob'al pa we uwachulew.",quc,CENTRAL_QUICHE,May.MAYAN,"Mayan,Yucatecan-CoreMayan,K'ichean-Mamean,K'ichean,Poqom-K'ichean,CoreK'ichean","Mayan,CoreMayan,Quichean-Mamean,GreaterQuichean,CoreQuichean,Quiche-Achi}",1,15,-91.42,1050000,qch,quc,GTM,North America,Mayan,,Kiche_language,
Kabardian,"Цӏыху псори щхьэхуиту, я
 щӏыхьымрэ я хуэфащэхэмрэкӏэ зэхуэдэу къалъхур. Акъылрэ зэхэщӏыкӏ 
гъуазэрэ яӏэщи, зыр зым зэкъуэш зэхащІэ яку дэлъу зэхущытын хуейхэщ.",kbd,KABARDIAN,NWC.NORTHWEST_CAUCASIAN,"Abkhaz-Adyghe,Circassian","Abkhaz-Adyge,Circassian}",1,43.5,43.5,1890000,kab,kbd,RUS,Europe,Abkhaz-Adyge,,Kabardian_language,
Kafa,"Ubbe ashi bushoo 
shiijjeto tatoonaa ame megoona aalloon, oogoonaa wuroonon yechiiniye. 
Ikkoo baroona manittine shalligoonaa naboona yeshet shalligoon boono 
shaddeyoo hakkiimm qello boonoshich ichete.",kbr,KEFA,AA.TA-NE-OMOTIC,"Afro-Asiatic,Omotic,North,Gonga-Gimojan,Gonga,South","Ta-Ne-Omotic,Kefoid,SouthGonga}",1,7.25,36.25,1236700,kef,kbr,ETH,Africa,Ta-Ne-Omotic,,Kafa_language,
Kannada,"ಎಲ್ಲಾ ಮಾನವರೂ 
ಸ್ವತಂತ್ರರಾಗಿಯೇ ಜನಿಸಿದ್ದಾರೆ. ಹಾಗೂ ಘನತೆ ಮತ್ತು ಹಕ್ಕುಗಳಲ್ಲಿ ಸಮಾನರಾಗಿದ್ದಾರೆ. 
ವಿವೇಕ ಮತ್ತು ಅಂತಃಕರಣಗಳನ್ನು ಪಡೆದವರಾದ್ದರಿಂದ ಅವರು ಪರಸ್ಪರ ಸಹೋದರ ಭಾವದಿಂದ 
ವರ್ತಿಸಬೇಕು.",kn,KANNADA,Dra.DRAVIDIAN,"Dravidian,Southern,Tamil-Kannada,Kannada","Dravidian,SouthDravidian,SouthDravidianI,Tamil-Kannada,Badaga-Kannada,Kannadoid,NuclearKannaoid}",1,14,76,43644310,knd,kan,IND,Asia,Dravidian,,Kannada_language,
"Kanuri, Central","Adamgana woso kambe 
katambo ye daraja-a hakkiwa-ason kalkalye. Hankal-a nazaru-asoro kəzəpkə
 ye suro hal nəmharamiben kamazasoga letaiyin ye.",kr,,,,,,,,9500000,,,,Africa,Saharan,y,Kanuri_language,
Kazakh,"Барлық адамдар тумысынан 
азат және қадір‐қасиеті мен кұқықтары тең болып дүниеге келеді. 
Адамдарға ақыл‐парасат, ар‐ождан берілген, сондықтан олар бір‐бірімен 
туыстық, бауырмалдық қарым‐қатынас жасаулары тиіс.",kk,KAZAKH,Alt.TURKIC,"Turkic,Western,Aralo-Caspian","Turkic,CommonTurkic,Kipchak,SouthKipchak}",1,50,70,13165250,kaz,kaz,KAZ,Asia,Turkic,,Kazakh_language,
